dataset,reference_model,model,exists_in_loaded_data,n_rows_model,n_unique_row_keys_model,n_duplicate_row_keys_model,n_reference_rows,n_common_with_reference,n_missing_vs_reference,n_extra_vs_reference,common_share_of_reference,y_true_na_mismatch_count,y_true_na_mismatch_rate,y_true_rt_mismatch_count,y_true_rt_mismatch_rate,y_true_nt_mismatch_count,y_true_nt_mismatch_rate,case_length_mismatch_count,case_length_mismatch_rate,activity_current_mismatch_count,activity_current_mismatch_rate
BPI12,gemma-2-2b,rnn,True,55952,55952,0,55952,55952,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI12,gemma-2-2b,transformer,True,55952,55952,0,55952,55952,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI12,gemma-2-2b,tabpfn3,True,2000,2000,0,55952,2000,53952,0,0.03574492422076065,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI12,gemma-2-2b,saprpt,True,2000,2000,0,55952,2000,53952,0,0.03574492422076065,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI12,gemma-2-2b,llama32-1b,True,55952,55952,0,55952,55952,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI12,gemma-2-2b,gemma-2-2b,True,55952,55952,0,55952,55952,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI17,gemma-2-2b,rnn,True,294882,294882,0,294882,294882,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI17,gemma-2-2b,transformer,True,294882,294882,0,294882,294882,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI17,gemma-2-2b,tabpfn3,True,2000,2000,0,294882,2000,292882,0,0.006782373966535767,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI17,gemma-2-2b,saprpt,True,2000,2000,0,294882,2000,292882,0,0.006782373966535767,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI17,gemma-2-2b,llama32-1b,True,294882,294882,0,294882,294882,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI17,gemma-2-2b,gemma-2-2b,True,294882,294882,0,294882,294882,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20PrepaidTravelCosts,gemma-2-2b,rnn,True,5050,5050,0,5050,5050,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20PrepaidTravelCosts,gemma-2-2b,transformer,True,5050,5050,0,5050,5050,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20PrepaidTravelCosts,gemma-2-2b,tabpfn3,True,2000,2000,0,5050,2000,3050,0,0.39603960396039606,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20PrepaidTravelCosts,gemma-2-2b,saprpt,True,2000,2000,0,5050,2000,3050,0,0.39603960396039606,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20PrepaidTravelCosts,gemma-2-2b,llama32-1b,True,5050,5050,0,5050,5050,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20PrepaidTravelCosts,gemma-2-2b,gemma-2-2b,True,5050,5050,0,5050,5050,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20RequestForPayment,gemma-2-2b,rnn,True,7041,7041,0,7041,7041,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20RequestForPayment,gemma-2-2b,transformer,True,7041,7041,0,7041,7041,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20RequestForPayment,gemma-2-2b,tabpfn3,True,2000,2000,0,7041,2000,5041,0,0.284050560999858,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20RequestForPayment,gemma-2-2b,saprpt,True,2000,2000,0,7041,2000,5041,0,0.284050560999858,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20RequestForPayment,gemma-2-2b,llama32-1b,True,7041,7041,0,7041,7041,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20RequestForPayment,gemma-2-2b,gemma-2-2b,True,7041,7041,0,7041,7041,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20TravelPermitData,gemma-2-2b,rnn,True,32390,32390,0,32390,32390,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20TravelPermitData,gemma-2-2b,transformer,True,32390,32390,0,32390,32390,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20TravelPermitData,gemma-2-2b,tabpfn3,True,2000,2000,0,32390,2000,30390,0,0.06174745291756715,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20TravelPermitData,gemma-2-2b,saprpt,True,2000,2000,0,32390,2000,30390,0,0.06174745291756715,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20TravelPermitData,gemma-2-2b,llama32-1b,True,32390,32390,0,32390,32390,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BPI20TravelPermitData,gemma-2-2b,gemma-2-2b,True,32390,32390,0,32390,32390,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
