dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases
BPI12,gemma-2-2b,llm,case_length_bucket,1-3,62,0.7903225806451613,0.20967741935483875,60
BPI12,gemma-2-2b,llm,case_length_bucket,11-20,152,0.5986842105263158,0.4013157894736842,120
BPI12,gemma-2-2b,llm,case_length_bucket,21-50,1232,0.5803571428571429,0.4196428571428571,729
BPI12,gemma-2-2b,llm,case_length_bucket,51-100,434,0.4308755760368664,0.5691244239631337,174
BPI12,gemma-2-2b,llm,case_length_bucket,6-10,109,0.6972477064220184,0.3027522935779816,100
BPI12,llama32-1b,llm,case_length_bucket,1-3,62,0.8709677419354839,0.12903225806451613,60
BPI12,llama32-1b,llm,case_length_bucket,11-20,152,0.6973684210526315,0.3026315789473685,120
BPI12,llama32-1b,llm,case_length_bucket,21-50,1232,0.5957792207792207,0.40422077922077926,729
BPI12,llama32-1b,llm,case_length_bucket,51-100,434,0.391705069124424,0.6082949308755761,174
BPI12,llama32-1b,llm,case_length_bucket,6-10,109,0.7247706422018348,0.27522935779816515,100
BPI12,rnn,sequence,case_length_bucket,1-3,62,0.9354838709677419,0.06451612903225812,60
BPI12,rnn,sequence,case_length_bucket,11-20,152,0.7105263157894737,0.2894736842105263,120
BPI12,rnn,sequence,case_length_bucket,21-50,1232,0.7613636363636364,0.23863636363636365,729
BPI12,rnn,sequence,case_length_bucket,51-100,434,0.7465437788018433,0.2534562211981567,174
BPI12,rnn,sequence,case_length_bucket,6-10,109,0.6972477064220184,0.3027522935779816,100
BPI12,saprpt,tabular_fm,case_length_bucket,1-3,62,0.5483870967741935,0.4516129032258065,60
BPI12,saprpt,tabular_fm,case_length_bucket,11-20,152,0.6118421052631579,0.38815789473684215,120
BPI12,saprpt,tabular_fm,case_length_bucket,21-50,1232,0.6607142857142857,0.3392857142857143,729
BPI12,saprpt,tabular_fm,case_length_bucket,51-100,434,0.6152073732718893,0.38479262672811065,174
BPI12,saprpt,tabular_fm,case_length_bucket,6-10,109,0.42201834862385323,0.5779816513761468,100
BPI12,tabpfn3,tabular_fm,case_length_bucket,1-3,62,0.7741935483870968,0.22580645161290325,60
BPI12,tabpfn3,tabular_fm,case_length_bucket,11-20,152,0.6118421052631579,0.38815789473684215,120
BPI12,tabpfn3,tabular_fm,case_length_bucket,21-50,1232,0.6607142857142857,0.3392857142857143,729
BPI12,tabpfn3,tabular_fm,case_length_bucket,51-100,434,0.6082949308755761,0.39170506912442393,174
BPI12,tabpfn3,tabular_fm,case_length_bucket,6-10,109,0.45871559633027525,0.5412844036697247,100
BPI12,transformer,sequence,case_length_bucket,1-3,62,0.5645161290322581,0.4354838709677419,60
BPI12,transformer,sequence,case_length_bucket,11-20,152,0.7960526315789473,0.20394736842105265,120
BPI12,transformer,sequence,case_length_bucket,21-50,1232,0.7491883116883117,0.2508116883116883,729
BPI12,transformer,sequence,case_length_bucket,51-100,434,0.728110599078341,0.27188940092165903,174
BPI12,transformer,sequence,case_length_bucket,6-10,109,0.908256880733945,0.09174311926605505,100
BPI17,gemma-2-2b,llm,case_length_bucket,11-20,74,0.8513513513513513,0.14864864864864868,68
BPI17,gemma-2-2b,llm,case_length_bucket,21-50,1250,0.8472,0.15280000000000005,1108
BPI17,gemma-2-2b,llm,case_length_bucket,51-100,649,0.7781201848998459,0.2218798151001541,528
BPI17,llama32-1b,llm,case_length_bucket,11-20,74,0.7837837837837838,0.21621621621621623,68
BPI17,llama32-1b,llm,case_length_bucket,21-50,1250,0.8024,0.1976,1108
BPI17,llama32-1b,llm,case_length_bucket,51-100,649,0.7889060092449923,0.21109399075500768,528
BPI17,rnn,sequence,case_length_bucket,11-20,74,0.8513513513513513,0.14864864864864868,68
BPI17,rnn,sequence,case_length_bucket,21-50,1250,0.872,0.128,1108
BPI17,rnn,sequence,case_length_bucket,51-100,649,0.8289676425269645,0.17103235747303547,528
BPI17,saprpt,tabular_fm,case_length_bucket,11-20,74,0.6216216216216216,0.3783783783783784,68
BPI17,saprpt,tabular_fm,case_length_bucket,21-50,1250,0.616,0.384,1108
BPI17,saprpt,tabular_fm,case_length_bucket,51-100,649,0.6209553158705701,0.37904468412942993,528
BPI17,tabpfn3,tabular_fm,case_length_bucket,11-20,74,0.6351351351351351,0.3648648648648649,68
BPI17,tabpfn3,tabular_fm,case_length_bucket,21-50,1250,0.6448,0.35519999999999996,1108
BPI17,tabpfn3,tabular_fm,case_length_bucket,51-100,649,0.6548536209553159,0.34514637904468415,528
BPI17,transformer,sequence,case_length_bucket,11-20,74,0.8243243243243243,0.17567567567567566,68
BPI17,transformer,sequence,case_length_bucket,21-50,1250,0.8688,0.13119999999999998,1108
BPI17,transformer,sequence,case_length_bucket,51-100,649,0.8212634822804314,0.17873651771956856,528
BPI20PrepaidTravelCosts,gemma-2-2b,llm,case_length_bucket,11-20,567,0.527336860670194,0.47266313932980597,115
BPI20PrepaidTravelCosts,gemma-2-2b,llm,case_length_bucket,4-5,45,0.5111111111111111,0.48888888888888893,20
BPI20PrepaidTravelCosts,gemma-2-2b,llm,case_length_bucket,6-10,1385,0.6657039711191336,0.3342960288808664,402
BPI20PrepaidTravelCosts,llama32-1b,llm,case_length_bucket,11-20,567,0.4656084656084656,0.5343915343915344,115
BPI20PrepaidTravelCosts,llama32-1b,llm,case_length_bucket,4-5,45,0.2222222222222222,0.7777777777777778,20
BPI20PrepaidTravelCosts,llama32-1b,llm,case_length_bucket,6-10,1385,0.683754512635379,0.316245487364621,402
BPI20PrepaidTravelCosts,rnn,sequence,case_length_bucket,11-20,567,0.7001763668430335,0.2998236331569665,115
BPI20PrepaidTravelCosts,rnn,sequence,case_length_bucket,4-5,45,0.6,0.4,20
BPI20PrepaidTravelCosts,rnn,sequence,case_length_bucket,6-10,1385,0.8245487364620938,0.1754512635379062,402
BPI20PrepaidTravelCosts,saprpt,tabular_fm,case_length_bucket,11-20,567,0.6754850088183422,0.32451499118165783,115
BPI20PrepaidTravelCosts,saprpt,tabular_fm,case_length_bucket,4-5,45,0.7111111111111111,0.28888888888888886,20
BPI20PrepaidTravelCosts,saprpt,tabular_fm,case_length_bucket,6-10,1385,0.7725631768953068,0.22743682310469315,402
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,case_length_bucket,11-20,567,0.5890652557319224,0.41093474426807763,115
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,case_length_bucket,4-5,45,0.6444444444444445,0.3555555555555555,20
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,case_length_bucket,6-10,1385,0.6606498194945848,0.3393501805054152,402
BPI20PrepaidTravelCosts,transformer,sequence,case_length_bucket,11-20,567,0.6878306878306878,0.3121693121693122,115
BPI20PrepaidTravelCosts,transformer,sequence,case_length_bucket,4-5,45,0.5555555555555556,0.4444444444444444,20
BPI20PrepaidTravelCosts,transformer,sequence,case_length_bucket,6-10,1385,0.8252707581227436,0.17472924187725636,402
BPI20RequestForPayment,gemma-2-2b,llm,case_length_bucket,1-3,60,0.5166666666666667,0.4833333333333333,43
BPI20RequestForPayment,gemma-2-2b,llm,case_length_bucket,4-5,1008,0.9275793650793651,0.07242063492063489,576
BPI20RequestForPayment,gemma-2-2b,llm,case_length_bucket,6-10,920,0.8402173913043478,0.1597826086956522,447
BPI20RequestForPayment,llama32-1b,llm,case_length_bucket,1-3,60,0.6666666666666666,0.33333333333333337,43
BPI20RequestForPayment,llama32-1b,llm,case_length_bucket,4-5,1008,0.8263888888888888,0.17361111111111116,576
BPI20RequestForPayment,llama32-1b,llm,case_length_bucket,6-10,920,0.8967391304347826,0.1032608695652174,447
BPI20RequestForPayment,rnn,sequence,case_length_bucket,1-3,60,0.5833333333333334,0.41666666666666663,43
BPI20RequestForPayment,rnn,sequence,case_length_bucket,4-5,1008,0.998015873015873,0.001984126984126977,576
BPI20RequestForPayment,rnn,sequence,case_length_bucket,6-10,920,0.8021739130434783,0.1978260869565217,447
BPI20RequestForPayment,saprpt,tabular_fm,case_length_bucket,1-3,60,0.5666666666666667,0.43333333333333335,43
BPI20RequestForPayment,saprpt,tabular_fm,case_length_bucket,4-5,1008,0.8095238095238095,0.19047619047619047,576
BPI20RequestForPayment,saprpt,tabular_fm,case_length_bucket,6-10,920,0.6847826086956522,0.3152173913043478,447
BPI20RequestForPayment,tabpfn3,tabular_fm,case_length_bucket,1-3,60,0.3,0.7,43
BPI20RequestForPayment,tabpfn3,tabular_fm,case_length_bucket,4-5,1008,0.8015873015873016,0.19841269841269837,576
BPI20RequestForPayment,tabpfn3,tabular_fm,case_length_bucket,6-10,920,0.6760869565217391,0.3239130434782609,447
BPI20RequestForPayment,transformer,sequence,case_length_bucket,1-3,60,0.55,0.44999999999999996,43
BPI20RequestForPayment,transformer,sequence,case_length_bucket,4-5,1008,0.998015873015873,0.001984126984126977,576
BPI20RequestForPayment,transformer,sequence,case_length_bucket,6-10,920,0.8076086956521739,0.19239130434782614,447
BPI20TravelPermitData,gemma-2-2b,llm,case_length_bucket,11-20,1026,0.6803118908382066,0.31968810916179335,713
BPI20TravelPermitData,gemma-2-2b,llm,case_length_bucket,21-50,290,0.5655172413793104,0.43448275862068964,158
BPI20TravelPermitData,gemma-2-2b,llm,case_length_bucket,4-5,59,0.6101694915254238,0.38983050847457623,50
BPI20TravelPermitData,gemma-2-2b,llm,case_length_bucket,6-10,606,0.6765676567656765,0.32343234323432346,480
BPI20TravelPermitData,llama32-1b,llm,case_length_bucket,11-20,1026,0.7456140350877193,0.2543859649122807,713
BPI20TravelPermitData,llama32-1b,llm,case_length_bucket,21-50,290,0.5689655172413793,0.43103448275862066,158
BPI20TravelPermitData,llama32-1b,llm,case_length_bucket,4-5,59,0.6949152542372882,0.30508474576271183,50
BPI20TravelPermitData,llama32-1b,llm,case_length_bucket,6-10,606,0.8102310231023102,0.1897689768976898,480
BPI20TravelPermitData,rnn,sequence,case_length_bucket,11-20,1026,0.7826510721247564,0.21734892787524362,713
BPI20TravelPermitData,rnn,sequence,case_length_bucket,21-50,290,0.6448275862068965,0.3551724137931035,158
BPI20TravelPermitData,rnn,sequence,case_length_bucket,4-5,59,0.6101694915254238,0.38983050847457623,50
BPI20TravelPermitData,rnn,sequence,case_length_bucket,6-10,606,0.731023102310231,0.26897689768976896,480
BPI20TravelPermitData,saprpt,tabular_fm,case_length_bucket,11-20,1026,0.6998050682261209,0.3001949317738791,713
BPI20TravelPermitData,saprpt,tabular_fm,case_length_bucket,21-50,290,0.5724137931034483,0.4275862068965517,158
BPI20TravelPermitData,saprpt,tabular_fm,case_length_bucket,4-5,59,0.5423728813559322,0.4576271186440678,50
BPI20TravelPermitData,saprpt,tabular_fm,case_length_bucket,6-10,606,0.6963696369636964,0.30363036303630364,480
BPI20TravelPermitData,tabpfn3,tabular_fm,case_length_bucket,11-20,1026,0.6228070175438597,0.3771929824561403,713
BPI20TravelPermitData,tabpfn3,tabular_fm,case_length_bucket,21-50,290,0.5275862068965518,0.4724137931034482,158
BPI20TravelPermitData,tabpfn3,tabular_fm,case_length_bucket,4-5,59,0.5423728813559322,0.4576271186440678,50
BPI20TravelPermitData,tabpfn3,tabular_fm,case_length_bucket,6-10,606,0.6122112211221122,0.38778877887788776,480
BPI20TravelPermitData,transformer,sequence,case_length_bucket,11-20,1026,0.7690058479532164,0.23099415204678364,713
BPI20TravelPermitData,transformer,sequence,case_length_bucket,21-50,290,0.6551724137931034,0.3448275862068966,158
BPI20TravelPermitData,transformer,sequence,case_length_bucket,4-5,59,0.5932203389830508,0.4067796610169492,50
BPI20TravelPermitData,transformer,sequence,case_length_bucket,6-10,606,0.6947194719471947,0.30528052805280526,480
